Код;Наименование;Иерархия;Артикул;Количество;Цена;Бренд;ИмяФайлаИзображения;Новинка;HAPPY_МОЛЛОстаток;ГлобусОстаток;ЛазурныйОстаток;ОранжевыйОстаток;ПассажОстаток;ТауОстаток;10 летняя батарея;Bluetooth;Барометр\альтиметр;Браслет;Будильник;Включение,отключение звука кнопок;Водозащита;Грязеустойчивость;Дополнительно;Индикатор приливов и отливов;Индикатор уровня заряда аккумулятора;Компас;Материал корпуса;Мелодия;Мировое время;Отображение данных о Луне;Пол;Прием радиосигнала точного времени;Размер корпуса;Резерв хода;Сверх яркая подсветка;Связь со смартфоном;Скидка;Солнечная батарея;Стекло;Страна бренда;Страна производитель;Таймер;Таймер рыбалки;Термометр;Тип механизма;Ударопрочность;Устойчивость к воздействию магнитного поля;Форма корпуса;Функция поиска телефона;Функция секундомера;Хит продаж;Ход стрелки;Хронограф;Циферблат;Шагомер;ЦенаСоСкидкой;
СТ000004190;1018 BKBK Anne Klein;ЧАСЫ/Наручные/Anne Klein;1018 BKBK;3;14490;Anne Klein;1018 BKBK.jpg;0;0;0;1;0;1;1;;;;Керамический;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;33;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;144900011111111;
Ц0000017944;1018 BLRG Anne Klein;ЧАСЫ/Наручные/Anne Klein;1018 BLRG;1;14390;Anne Klein;1018BLRG.jpg;0;0;0;0;0;0;1;;;;Керамический;;;WR;;;;;;Керамика, Сталь с IP покрытием;;;;Женские;;33;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;14390;
Ц0000008645;1018 IVGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;1018 IVGB;1;14390;Anne Klein;1018 IVGB.jpg;0;0;0;1;0;0;0;;;;Керамический;;;WR;;;;;;Керамика, Сталь с IP покрытием;;;;Женские;;33;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;14390;
Ц0000004108;1018 RGBK Anne Klein;ЧАСЫ/Наручные/Anne Klein;1018 RGBK;2;14490;Anne Klein;1018 RGBK.jpg;0;0;0;0;0;1;1;;;;Керамический;;;WR;;;;;;Сталь с розовым IP покрытием;;;;Женские;;33;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;14490;
Ц0000012940;1018 RGNV Anne Klein;ЧАСЫ/Наручные/Anne Klein;1018 RGNV;2;14490;Anne Klein;1018 RGNV.jpg;0;0;0;0;0;1;1;;;;Керамический;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;33;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;14490;
Ц0000012946;1018 RGTN Anne Klein;ЧАСЫ/Наручные/Anne Klein;1018 RGTN;3;14490;Anne Klein;1018 RGTN.jpg;0;0;0;1;0;1;1;;;;Керамический;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;33;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;14490;
Ц0000001856;1018 RGWT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1018 RGWT;2;14490;Anne Klein;1018 RGWT.jpg;0;0;0;1;0;0;1;;;;Керамический;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;33;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;14490;
СТ000006871;1019 PVWT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1019 PVWT;1;12800;Anne Klein;1019PVWT.jpg;0;0;0;0;0;0;1;;;;Керамический;;;WR 30m;;;;;;Керамика, Сталь;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;12800;
СТ000005191;1019 WTWT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1019 WTWT;3;14390;Anne Klein;1019 WTWT.jpg;0;0;0;1;0;1;1;;;;Керамический;;;WR 30m;;;;;;Керамика, Сталь;;;;Женские;;30;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;14390;
СТ000004200;1081 MPRV Anne Klein;ЧАСЫ/Наручные/Anne Klein;1081 MPRV;1;7950;Anne Klein;1081 MPRV .jpg;0;0;0;0;0;0;1;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;21;;;;20;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;6360;
СТ000006264;1134 CHTO Anne Klein;ЧАСЫ/Наручные/Anne Klein;1134 CHTO;1;10450;Anne Klein;1134 CHTO.jpg;0;0;0;0;0;0;1;;;;Пластик, Сталь;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;35;;;;30;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;7315;
Ц0000001857;1154 RGWT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1154 RGWT;1;9280;Anne Klein;1154 RGWT.jpg;0;0;0;0;0;0;1;;;;Кожаный ремешок;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;38;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9280;
СТ000006296;1171 MPTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1171 MPTT;0;8490;Anne Klein;1171 MPTT.jpg;0;0;0;0;0;0;0;;;;Стальной с частичным PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;24;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;8490;
Ц0000001049;1329 MPTT Anne Klein;ЧАСЫ/Наручные/Anne Klein;1329 MPTT;1;10090;Anne Klein;1329 MPTT.jpg;0;0;0;0;0;0;1;;;;Стальной с частичным PVD покрытием;;;WR 30m;;;;;;Нержавеющая сталь ;;;;Женские;;28;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;10090;
Ц0000011894;1362 GNGB Anne Klein;ЧАСЫ/Наручные/Anne Klein;1362 GNGB;0;9490;Anne Klein;1362 GNGB.jpg;0;0;0;0;0;0;0;;;;Стальной с PVD покрытием;;;WR 30m;;;;;;Сталь с PVD покрытием;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9490;
Ц0000004188;1362 RGRG Anne Klein;ЧАСЫ/Наручные/Anne Klein;1362 RGRG;0;9990;Anne Klein;1362 RGRG.jpg;0;0;0;0;0;0;0;;;;Керамический;;;WR 30m;;;;;;Сталь с розовым IP покрытием;;;;Женские;;30;;;;;;Минеральное;;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;9990;
Ц0000019263;1363 BKSV Anne Klein;ЧАСЫ/Наручные/Anne Klein;1363 BKSV;2;9790;Anne Klein;1363 BKSV.jpg;0;0;0;1;0;0;1;;;;Стальной;;;;;;;;;Нержавеющая сталь ;;;;Женские;;32;;;;;;Минеральное;США;;;;;Кварцевый;;;Круг;;;;;;;;9790;
